row,Assembly,Length
586,Ref_Scaff,2814
587,Ref_Scaff,2811
588,Ref_Scaff,2804
589,Ref_Scaff,2799
590,Ref_Scaff,2796
591,Ref_Scaff,2795
592,Ref_Scaff,2795
593,Ref_Scaff,2794
594,Ref_Scaff,2793
595,Ref_Scaff,2793
596,Ref_Scaff,2791
597,Ref_Scaff,2790
598,Ref_Scaff,2788
599,Ref_Scaff,2787
600,Ref_Scaff,2784
601,Ref_Scaff,2783
602,Ref_Scaff,2781
603,Ref_Scaff,2765
604,Ref_Scaff,2762
605,Ref_Scaff,2751
606,Ref_Scaff,2750
607,Ref_Scaff,2745
608,Ref_Scaff,2744
609,Ref_Scaff,2736
610,Ref_Scaff,2733
611,Ref_Scaff,2728
612,Ref_Scaff,2709
613,Ref_Scaff,2708
614,Ref_Scaff,2703
615,Ref_Scaff,2698
616,Ref_Scaff,2697
617,Ref_Scaff,2694
618,Ref_Scaff,2689
619,Ref_Scaff,2688
620,Ref_Scaff,2688
621,Ref_Scaff,2686
622,Ref_Scaff,2671
623,Ref_Scaff,2670
624,Ref_Scaff,2669
625,Ref_Scaff,2668
626,Ref_Scaff,2665
627,Ref_Scaff,2664
628,Ref_Scaff,2647
629,Ref_Scaff,2644
630,Ref_Scaff,2642
631,Ref_Scaff,2641
632,Ref_Scaff,2639
633,Ref_Scaff,2637
634,Ref_Scaff,2636
635,Ref_Scaff,2635
636,Ref_Scaff,2629
637,Ref_Scaff,2628
638,Ref_Scaff,2626
639,Ref_Scaff,2618
640,Ref_Scaff,2617
641,Ref_Scaff,2612
642,Ref_Scaff,2611
643,Ref_Scaff,2605
644,Ref_Scaff,2603
645,Ref_Scaff,2603
646,Ref_Scaff,2591
647,Ref_Scaff,2588
648,Ref_Scaff,2584
649,Ref_Scaff,2583
650,Ref_Scaff,2577
651,Ref_Scaff,2577
652,Ref_Scaff,2576
653,Ref_Scaff,2575
654,Ref_Scaff,2575
655,Ref_Scaff,2575
656,Ref_Scaff,2574
657,Ref_Scaff,2570
658,Ref_Scaff,2565
659,Ref_Scaff,2561
660,Ref_Scaff,2557
661,Ref_Scaff,2556
662,Ref_Scaff,2555
663,Ref_Scaff,2549
664,Ref_Scaff,2547
665,Ref_Scaff,2541
666,Ref_Scaff,2541
667,Ref_Scaff,2536
668,Ref_Scaff,2529
669,Ref_Scaff,2529
670,Ref_Scaff,2522
671,Ref_Scaff,2521
672,Ref_Scaff,2521
673,Ref_Scaff,2520
674,Ref_Scaff,2520
675,Ref_Scaff,2517
676,Ref_Scaff,2516
677,Ref_Scaff,2511
678,Ref_Scaff,2511
679,Ref_Scaff,2510
680,Ref_Scaff,2508
681,Ref_Scaff,2505
682,Ref_Scaff,2500
683,Ref_Scaff,2491
684,Ref_Scaff,2487
685,Ref_Scaff,2479
686,Ref_Scaff,2477
687,Ref_Scaff,2476
688,Ref_Scaff,2475
689,Ref_Scaff,2473
690,Ref_Scaff,2470
691,Ref_Scaff,2464
692,Ref_Scaff,2463
693,Ref_Scaff,2462
694,Ref_Scaff,2451
695,Ref_Scaff,2447
696,Ref_Scaff,2442
697,Ref_Scaff,2439
698,Ref_Scaff,2438
699,Ref_Scaff,2438
700,Ref_Scaff,2438
701,Ref_Scaff,2435
702,Ref_Scaff,2434
703,Ref_Scaff,2432
704,Ref_Scaff,2431
705,Ref_Scaff,2429
706,Ref_Scaff,2428
